ticker,secShortName,endDate,dailyProfit,weeklyYield,publishDate,currencyCd
"003423.OFCN","003423","国寿安保添利货币-B","2017-09-13",1.2106,4.476,"2017-09-14","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-09-12",1.2071,4.476,"2017-09-13","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-09-11",1.2049,4.473,"2017-09-12","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-09-10",2.3788,4.504,"2017-09-11","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-09-08",1.1952,4.528,"2017-09-09","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-09-07",1.2012,4.54,"2017-09-08","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-09-06",1.2105,4.55,"2017-09-07","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-09-05",1.2021,4.549,"2017-09-06","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-09-04",1.261,4.553,"2017-09-05","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-09-03",2.4231,4.531,"2017-09-04","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-09-01",1.2172,4.536,"2017-09-02","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-31",1.2192,4.536,"2017-09-01","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-30",1.21,4.527,"2017-08-31","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-29",1.2091,4.527,"2017-08-30","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-28",1.2207,4.628,"2017-08-29","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-27",2.4318,4.624,"2017-08-28","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-25",1.2179,4.614,"2017-08-26","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-24",1.2023,4.609,"2017-08-25","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-23",1.2101,4.609,"2017-08-24","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-22",1.3945,4.604,"2017-08-23","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-21",1.2136,4.503,"2017-08-22","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-20",2.4133,4.529,"2017-08-21","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-18",1.2074,4.567,"2017-08-19","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-17",1.2036,4.588,"2017-08-18","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-16",1.2006,4.616,"2017-08-17","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-15",1.2092,4.655,"2017-08-16","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-14",1.2606,4.688,"2017-08-15","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-13",2.4845,4.694,"2017-08-15","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-11",1.2444,4.735,"2017-08-12","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-10",1.2552,4.754,"2017-08-11","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-09",1.2716,4.768,"2017-08-10","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-08",1.2712,4.77,"2017-08-09","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-07",1.2712,4.769,"2017-08-08","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-06",2.5588,4.762,"2017-08-07","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-04",1.2793,4.766,"2017-08-05","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-03",1.2822,4.768,"2017-08-04","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-02",1.2748,4.772,"2017-08-03","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-08-01",1.2692,4.78,"2017-08-02","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-31",1.2581,4.795,"2017-08-01","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-30",2.5663,4.81,"2017-07-31","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-28",1.2829,4.816,"2017-07-29","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-27",1.2902,4.82,"2017-07-28","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-26",1.2885,4.815,"2017-07-27","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-25",1.2969,4.809,"2017-07-26","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-24",1.2856,4.796,"2017-07-25","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-23",2.5778,4.805,"2017-07-24","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-21",1.2887,4.797,"2017-07-22","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-20",1.2812,4.794,"2017-07-21","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-19",1.2789,4.792,"2017-07-20","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-18",1.2722,4.775,"2017-07-19","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-17",1.3014,4.763,"2017-07-18","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-16",2.5644,4.741,"2017-07-17","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-14",1.2821,4.719,"2017-07-15","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-13",1.2779,4.707,"2017-07-14","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-12",1.2492,4.698,"2017-07-13","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-11",1.2498,4.691,"2017-07-12","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-10",1.2606,4.699,"2017-07-11","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-09",2.5233,4.716,"2017-07-10","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-07",1.2615,4.754,"2017-07-08","CNY"
"003423.OFCN","003423","国寿安保添利货币-B","2017-07-06",1.26,4.773,"2017-07-07","CNY"
